Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
banknote,GWO,SSE,2,25.24,479.7,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.79,418.57,0.34,0.34,0.99,1.23,0.27,869.21,869.21,772.58,641.29,522.32,517.63,496.0,493.77,493.77,492.54,492.54,486.6,486.6,486.6,482.82,482.82,482.82,482.32,482.32,481.9,481.9,481.9,481.65,481.65,481.42,481.42,481.27,480.89,480.89,480.89,480.89,480.45,480.45,480.41,480.41,480.41,480.41,480.39,480.25,480.25,479.87,479.87,479.87,479.72,479.72,479.72,479.72,479.72,479.72,479.7
banknote,GWO,SSE,2,25.85,479.39,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.79,418.57,0.34,0.34,0.99,1.23,0.27,942.62,794.43,580.92,523.7,520.69,518.82,506.45,505.84,504.54,504.54,504.54,502.34,502.34,499.2,497.57,495.07,493.45,490.34,489.65,487.39,483.3,482.23,481.64,481.64,481.28,481.28,481.28,479.9,479.9,479.9,479.9,479.9,479.9,479.9,479.9,479.7,479.7,479.7,479.7,479.53,479.53,479.53,479.53,479.53,479.52,479.52,479.52,479.39,479.39,479.39
balance,GWO,SSE,3,8.94,139.15,0.67,0.72,0.13,0.11,0.12,0.12,0.15,0.17,138.95,0.42,0.15,0.86,1.71,0.12,166.16,165.92,162.02,156.96,156.96,156.96,156.96,156.96,150.99,150.99,150.99,150.99,150.99,150.99,150.99,150.99,150.99,150.99,150.85,147.14,147.14,147.14,147.14,146.35,146.35,142.85,142.85,142.85,142.85,142.85,142.85,142.85,142.85,142.85,142.7,142.7,142.7,142.7,142.27,141.74,141.74,141.18,140.47,140.22,140.22,140.22,139.69,139.32,139.32,139.15
balance,GWO,SSE,3,9.02,139.16,0.65,0.74,0.11,0.09,0.1,0.09,0.12,0.41,138.95,0.42,0.12,0.86,1.7,0.12,168.01,152.72,152.72,152.72,152.69,152.69,151.99,151.99,151.99,151.99,151.03,151.03,149.43,149.12,149.12,149.12,149.12,149.12,149.12,146.17,146.17,146.17,146.17,146.17,146.17,146.17,146.17,146.17,143.51,143.51,143.51,143.51,141.59,141.59,141.59,141.59,141.54,140.93,140.46,140.46,140.46,140.17,139.9,139.9,139.9,139.6,139.58,139.46,139.27,139.16
balance,GWO,SSE,3,9.03,139.5,0.65,0.73,0.12,0.1,0.11,0.11,0.14,0.22,139.4,0.42,0.14,0.86,1.71,0.12,188.26,159.56,159.56,159.56,159.56,159.56,159.56,151.42,151.42,151.42,151.28,149.91,149.91,149.91,149.91,149.44,148.69,148.69,148.69,146.93,146.93,146.93,145.9,145.9,145.9,145.9,144.66,144.66,144.66,144.66,144.66,144.66,142.79,142.79,142.79,142.79,142.79,142.02,142.02,142.02,140.92,140.92,140.82,140.51,140.4,139.88,139.86,139.72,139.62,139.5
ecoli,GWO,SSE,7,4.31,32.81,0.74,0.31,0.56,0.64,0.6,0.58,0.63,0.06,23.27,0.35,0.63,0.93,1.12,0.12,100.7,100.7,93.08,93.08,85.24,85.24,85.24,85.24,85.24,85.24,85.24,81.22,81.22,81.22,81.22,74.49,74.49,71.81,71.67,68.33,68.33,68.33,56.34,56.34,56.34,56.34,56.34,49.26,49.26,47.58,46.4,46.4,46.4,46.4,46.36,45.79,43.24,43.24,40.36,39.94,39.24,39.04,38.14,37.21,35.96,35.46,34.84,34.03,33.34,32.81
ecoli,GWO,SSE,7,4.72,28.72,0.76,0.3,0.58,0.71,0.63,0.62,0.67,0.0,23.69,0.37,0.67,0.89,0.85,0.12,115.02,115.02,102.08,96.27,96.27,83.03,83.03,83.03,80.55,79.98,79.98,79.98,75.38,55.49,55.49,55.49,55.49,55.49,55.49,55.49,50.0,50.0,50.0,50.0,47.95,47.95,47.95,47.95,46.04,46.04,43.9,43.9,40.83,40.83,40.49,40.49,39.89,38.6,38.24,35.21,34.71,33.45,31.7,31.07,31.01,30.52,30.08,29.15,29.0,28.72
ecoli,GWO,SSE,7,4.37,24.65,0.75,0.3,0.58,0.61,0.59,0.58,0.6,0.0,20.68,0.33,0.6,0.91,1.0,0.11,113.64,112.33,97.6,97.6,97.6,97.6,97.6,97.6,96.22,95.19,95.19,84.24,82.23,64.4,64.4,64.4,64.4,64.4,59.83,59.83,59.83,59.83,52.71,52.71,47.24,47.24,47.24,43.95,43.95,42.34,39.98,36.89,36.89,36.1,32.93,32.93,32.31,31.83,29.52,29.52,27.73,27.73,27.73,27.73,26.35,26.35,25.81,25.16,24.73,24.65
smiley,GWO,SSE,4,6.46,14.45,0.77,0.38,0.31,0.19,0.23,0.23,0.01,0.11,13.37,0.28,0.01,0.99,0.75,0.07,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45
smiley,GWO,SSE,4,6.31,11.78,0.77,0.37,0.32,0.18,0.23,0.23,0.02,0.11,11.72,0.27,0.02,0.99,0.79,0.06,21.66,21.66,20.47,20.47,18.4,18.4,18.4,17.47,17.47,17.47,17.47,17.47,16.94,16.94,16.94,16.94,16.71,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.82,14.5,14.34,14.34,13.38,13.38,13.38,13.38,13.38,12.32,12.32,12.32,12.32,12.17,12.17,12.09,12.09,12.09,12.09,12.09,12.09,11.99,11.86,11.8,11.78
smiley,GWO,SSE,4,6.32,12.36,0.77,0.38,0.3,0.17,0.22,0.21,0.03,0.22,12.35,0.29,0.03,0.99,0.85,0.06,19.28,19.28,18.27,18.27,18.01,18.01,18.01,16.25,16.25,16.25,16.25,16.21,16.21,16.21,14.37,14.37,14.37,14.37,14.37,14.37,14.37,14.37,14.37,14.37,14.37,14.37,14.35,14.35,14.35,14.35,14.35,13.61,13.61,13.61,13.36,13.04,12.86,12.86,12.86,12.86,12.86,12.56,12.56,12.51,12.51,12.51,12.51,12.5,12.36,12.36
iris,MVO,SSE,3,1.92,2.84,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.31,2.83,0.21,0.89,0.82,0.63,0.06,31.5,31.5,20.08,20.08,20.08,20.08,13.95,13.48,13.48,13.48,13.48,13.48,13.48,8.15,6.52,6.52,6.52,6.52,6.52,5.82,5.82,5.82,5.41,5.24,5.24,4.59,4.12,4.12,4.12,3.87,3.69,3.69,3.69,3.67,3.6,3.6,3.6,3.39,3.2,3.14,3.14,3.14,3.1,3.0,2.95,2.91,2.87,2.86,2.85,2.84
iris,MVO,SSE,3,2.04,2.86,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.01,2.83,0.21,0.89,0.82,0.63,0.06,33.64,33.64,20.04,20.04,20.04,19.2,11.49,11.49,9.47,8.03,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,6.74,6.74,5.51,5.51,5.51,5.51,5.51,5.21,4.97,4.97,4.97,4.97,4.97,4.68,4.34,3.95,3.95,3.9,3.59,3.36,3.36,3.36,3.25,3.21,3.08,3.06,3.01,2.96,2.94,2.89,2.87,2.86
iris,MVO,SSE,3,1.89,5.73,0.7,0.41,0.59,0.81,0.68,0.68,0.55,0.24,5.25,0.26,0.55,0.94,0.63,0.1,25.36,19.41,19.41,14.67,14.15,14.15,14.15,14.15,14.15,14.15,12.53,11.07,10.42,9.48,8.82,8.26,8.26,8.26,7.83,7.83,7.83,7.83,7.83,7.06,7.06,7.06,7.06,6.89,6.89,6.39,6.39,6.39,6.39,6.39,6.22,6.22,6.1,6.1,6.1,6.1,6.04,6.03,5.96,5.96,5.9,5.82,5.81,5.77,5.75,5.73
aggregation,MVO,SSE,7,10.48,11.0,0.9,0.1,0.88,0.79,0.83,0.83,0.72,0.19,10.93,0.27,0.72,0.97,0.72,0.05,24.53,24.53,24.53,24.53,24.53,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.41,21.81,21.81,21.81,17.08,17.08,17.08,17.08,17.08,17.08,17.08,16.68,16.06,16.06,16.06,13.61,13.61,13.61,13.61,12.94,12.94,12.94,12.94,12.94,12.59,12.12,11.95,11.72,11.48,11.42,11.18,11.18,11.12,11.12,11.08,11.06,11.02,11.0
aggregation,MVO,SSE,7,10.44,12.73,0.87,0.16,0.82,0.73,0.77,0.77,0.62,0.08,12.63,0.27,0.62,0.98,0.71,0.06,26.15,23.56,23.56,23.56,22.52,22.52,22.52,22.52,20.86,20.86,20.86,19.49,19.49,19.49,19.49,19.17,19.1,19.1,17.1,17.09,17.09,17.09,16.6,15.42,15.42,15.42,14.59,14.59,14.44,13.98,13.98,13.98,13.98,13.98,13.56,13.56,13.56,13.56,13.56,13.29,13.24,13.15,13.1,12.94,12.94,12.84,12.81,12.78,12.75,12.73
aggregation,MVO,SSE,7,10.37,11.27,0.91,0.11,0.88,0.8,0.83,0.83,0.73,0.11,11.15,0.28,0.73,0.97,0.76,0.05,30.32,29.59,29.59,24.39,24.39,24.39,24.39,24.39,20.63,20.63,20.63,19.62,18.44,18.44,18.44,18.44,18.44,17.78,17.78,16.16,16.16,16.16,16.16,16.16,16.16,15.66,15.66,15.25,15.25,13.99,13.99,13.99,13.99,13.51,12.78,12.78,12.56,12.48,12.48,12.41,12.28,11.8,11.66,11.59,11.56,11.54,11.41,11.35,11.3,11.27
banknote,MVO,SSE,2,25.23,478.01,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.2,418.57,0.34,0.34,0.99,1.23,0.27,1143.73,1060.22,999.19,928.04,807.07,679.25,624.88,588.52,562.06,535.4,535.4,535.4,535.4,500.48,490.78,490.78,490.78,490.78,490.78,486.83,486.83,486.83,486.83,486.83,485.74,480.19,480.19,480.19,480.19,480.19,480.19,480.19,480.19,480.19,480.19,479.71,478.96,478.81,478.81,478.81,478.81,478.79,478.54,478.26,478.22,478.18,478.18,478.05,478.05,478.01
banknote,MVO,SSE,2,25.49,478.12,0.79,0.69,0.3,0.3,0.3,0.3,0.34,0.2,418.98,0.35,0.34,0.99,1.23,0.27,1023.29,1023.29,763.28,743.04,664.04,664.04,664.04,613.36,613.36,583.5,573.85,565.93,565.93,554.73,538.2,522.44,501.3,501.3,501.3,501.3,495.67,495.67,495.67,493.68,486.2,486.2,486.2,486.2,486.2,486.2,486.2,486.2,486.2,486.2,486.2,486.2,482.95,481.58,481.58,480.64,479.08,479.08,479.08,478.12,478.12,478.12,478.12,478.12,478.12,478.12
banknote,MVO,SSE,2,25.84,478.59,0.79,0.7,0.3,0.3,0.3,0.3,0.33,0.2,419.3,0.35,0.33,0.99,1.23,0.27,1033.0,1002.06,704.95,644.81,644.81,644.81,644.81,644.81,594.78,594.78,574.28,486.48,486.48,486.48,481.47,481.47,481.47,481.33,481.33,481.33,481.33,481.33,481.33,479.74,479.74,479.74,479.74,479.74,479.74,479.43,479.43,479.43,479.43,479.43,479.43,479.43,479.43,479.43,479.43,479.43,479.43,479.43,478.96,478.96,478.76,478.76,478.76,478.59,478.59,478.59
balance,MVO,SSE,3,8.31,139.34,0.67,0.73,0.13,0.11,0.12,0.11,0.13,0.29,139.31,0.42,0.13,0.86,1.71,0.12,184.41,183.43,168.41,168.41,168.41,168.41,160.73,160.73,160.73,160.73,160.73,160.73,160.73,152.77,146.98,146.98,146.09,145.3,145.3,145.3,142.86,142.86,142.29,142.29,142.29,142.29,142.03,142.03,141.88,141.88,141.53,141.53,141.39,141.14,141.14,141.14,141.14,141.14,140.8,140.43,140.41,140.18,139.76,139.6,139.53,139.4,139.4,139.38,139.36,139.34
balance,MVO,SSE,3,8.5,139.4,0.69,0.68,0.18,0.15,0.16,0.16,0.19,0.34,139.33,0.42,0.19,0.86,1.71,0.12,166.1,166.1,165.9,156.96,156.96,151.4,151.4,151.4,151.4,146.48,145.31,145.31,145.31,145.31,145.31,145.3,145.3,145.3,145.3,142.23,142.23,142.23,142.23,142.23,142.23,142.23,142.06,142.06,142.06,142.06,142.06,141.35,141.35,141.35,141.35,141.3,140.97,140.52,140.52,140.38,140.12,140.12,139.94,139.83,139.59,139.57,139.55,139.46,139.43,139.4
