Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
ecoli,GWO,SSE,7,4.47,28.73,0.75,0.31,0.57,0.65,0.61,0.59,0.63,0.02,22.54,0.35,0.63,0.91,0.99,0.12,109.78,109.35,97.59,95.65,93.04,88.62,88.62,88.62,87.34,86.8,86.8,81.81,79.61,67.04,67.04,64.79,64.79,63.9,62.33,61.21,59.39,59.39,53.02,53.02,50.51,50.51,50.51,47.05,46.41,45.32,43.42,42.4,41.37,41.11,39.92,39.74,38.48,37.89,36.04,34.89,33.89,33.4,32.52,32.0,31.11,30.78,30.24,29.44,29.02,28.73
smiley,GWO,SSE,4,6.36,12.86,0.77,0.38,0.31,0.18,0.23,0.22,0.02,0.15,12.48,0.28,0.02,0.99,0.8,0.06,18.46,18.46,17.73,17.73,16.95,16.95,16.95,16.05,16.05,16.05,16.05,16.04,15.87,15.87,15.25,15.25,15.18,14.55,14.55,14.55,14.55,14.55,14.55,14.55,14.55,14.55,14.43,14.38,14.38,14.06,14.06,13.81,13.81,13.81,13.38,13.27,13.21,13.21,13.16,13.16,13.13,13.03,13.03,13.02,13.02,13.02,12.98,12.94,12.87,12.86
iris,MVO,SSE,3,1.95,3.81,0.87,0.23,0.77,0.84,0.8,0.8,0.78,0.19,3.64,0.23,0.78,0.86,0.63,0.07,30.17,28.18,19.84,18.26,18.09,17.81,13.2,13.04,12.37,11.89,11.34,10.85,10.64,8.55,7.78,7.59,7.59,7.59,7.03,6.8,6.39,6.39,6.25,5.94,5.94,5.62,5.39,5.33,5.33,5.08,5.02,4.92,4.81,4.67,4.59,4.57,4.43,4.28,4.22,4.2,4.14,4.13,4.04,4.0,3.95,3.9,3.87,3.84,3.82,3.81
aggregation,MVO,SSE,7,10.43,11.67,0.89,0.12,0.86,0.77,0.81,0.81,0.69,0.13,11.57,0.27,0.69,0.97,0.73,0.05,27.0,25.89,25.89,24.16,23.81,23.11,23.11,23.11,21.3,21.3,21.3,20.51,20.12,19.91,19.91,19.81,18.21,17.99,17.32,16.78,16.78,16.78,16.61,16.09,15.88,15.71,15.44,14.49,14.44,13.86,13.86,13.64,13.64,13.48,13.09,13.09,12.9,12.72,12.66,12.47,12.33,12.12,11.98,11.9,11.87,11.83,11.77,11.73,11.69,11.67
banknote,MVO,SSE,2,25.52,478.24,0.79,0.7,0.3,0.3,0.3,0.3,0.34,0.2,418.95,0.35,0.34,0.99,1.23,0.27,1066.67,1028.52,822.47,771.96,705.31,662.7,644.57,615.56,590.07,571.23,561.17,529.27,529.27,513.9,503.48,498.23,491.18,491.14,491.14,489.82,487.94,487.94,487.94,486.75,483.89,482.04,482.04,482.04,482.04,481.94,481.94,481.94,481.94,481.94,481.94,481.78,480.44,479.94,479.94,479.63,479.11,479.1,478.86,478.45,478.37,478.36,478.36,478.26,478.25,478.24
balance,MVO,SSE,3,8.32,139.25,0.67,0.7,0.16,0.13,0.14,0.14,0.16,0.37,139.19,0.42,0.16,0.86,1.71,0.12,169.88,168.65,163.58,160.6,157.54,155.69,153.13,153.09,153.09,151.45,151.06,151.06,151.06,148.4,146.47,145.84,145.55,145.28,145.28,144.26,143.45,142.17,141.98,141.98,141.98,141.98,141.84,141.84,141.74,141.7,141.59,141.14,141.08,141.0,140.9,140.88,140.77,140.55,140.33,140.16,140.05,139.97,139.75,139.62,139.5,139.33,139.33,139.29,139.26,139.25
ecoli,MVO,SSE,7,4.32,29.96,0.75,0.32,0.55,0.6,0.57,0.56,0.61,0.06,23.56,0.38,0.61,0.94,0.99,0.11,117.97,100.9,93.21,93.21,89.67,89.67,88.78,88.78,88.78,88.78,88.78,88.78,85.78,70.68,70.0,70.0,70.0,65.64,65.64,59.97,59.02,58.34,58.23,55.47,52.86,52.86,52.86,50.59,48.67,46.87,44.05,42.63,40.27,39.26,37.36,37.0,35.97,35.73,34.73,34.07,33.54,32.91,32.56,31.81,31.26,30.96,30.63,30.33,30.1,29.96
smiley,MVO,SSE,4,6.4,11.75,0.77,0.37,0.33,0.18,0.24,0.23,0.02,0.24,11.74,0.27,0.02,0.98,0.78,0.06,23.53,23.53,21.55,20.51,20.3,19.22,18.14,17.37,17.15,16.61,16.14,15.3,15.01,14.91,14.75,14.39,14.39,14.03,14.03,13.57,13.57,13.57,13.57,13.53,13.53,13.47,13.21,13.13,12.93,12.79,12.65,12.41,12.41,12.41,12.25,12.25,12.18,12.17,12.1,12.03,11.96,11.94,11.94,11.85,11.82,11.8,11.78,11.77,11.76,11.75
iris,PSO,SSE,3,2.07,5.3,0.78,0.33,0.67,0.84,0.74,0.74,0.62,0.22,4.29,0.23,0.62,0.89,0.56,0.08,33.36,24.0,17.93,17.93,17.93,17.93,17.39,17.25,17.25,16.62,16.52,16.07,14.57,13.55,13.55,13.16,13.04,12.55,12.5,12.5,11.24,11.09,11.04,10.9,9.76,9.47,9.39,9.23,9.2,8.44,7.71,7.36,7.29,7.12,6.88,6.86,6.52,6.48,6.36,5.69,5.62,5.5,5.49,5.45,5.36,5.35,5.35,5.31,5.31,5.3
aggregation,PSO,SSE,7,10.38,12.78,0.87,0.13,0.85,0.77,0.81,0.81,0.69,0.09,11.83,0.28,0.69,0.97,0.83,0.05,22.27,20.07,20.07,19.99,19.99,19.99,19.99,19.99,19.83,19.83,18.66,18.66,18.66,18.66,18.66,17.92,17.52,17.52,17.52,17.52,16.87,16.74,16.0,16.0,15.63,15.63,15.15,15.15,15.15,15.11,15.11,14.94,14.88,14.82,14.62,14.55,14.33,14.08,13.96,13.58,13.51,13.47,13.43,13.43,13.16,13.13,13.05,13.01,12.94,12.78
banknote,PSO,SSE,2,26.74,526.26,0.64,0.88,0.11,0.13,0.12,0.12,0.08,0.48,425.7,0.35,0.08,0.99,1.21,0.25,987.65,763.3,604.04,562.84,547.2,540.42,532.31,527.97,527.3,527.29,526.8,526.8,526.4,526.4,526.4,526.36,526.32,526.32,526.32,526.28,526.27,526.27,526.27,526.27,526.27,526.27,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26,526.26
balance,PSO,SSE,3,8.58,140.73,0.65,0.74,0.11,0.09,0.1,0.1,0.12,0.26,139.64,0.42,0.12,0.86,1.72,0.12,174.45,167.56,167.56,166.13,161.82,161.82,159.13,157.84,155.6,153.91,152.43,152.43,152.29,152.29,152.19,151.86,151.86,151.86,151.86,151.86,151.46,151.46,151.36,151.36,150.5,149.99,149.91,149.37,149.11,146.04,146.04,146.04,145.77,145.47,145.47,145.39,143.79,143.72,143.63,143.37,143.3,143.15,142.37,141.65,141.57,141.4,141.39,141.3,141.06,140.73
ecoli,PSO,SSE,7,4.09,55.47,0.58,0.53,0.26,0.47,0.32,0.3,0.29,0.02,42.05,0.46,0.29,0.94,0.98,0.12,96.68,96.68,96.08,96.08,96.08,96.08,95.44,95.44,92.38,92.38,86.69,86.69,86.62,86.62,86.62,86.62,86.62,86.62,86.62,85.87,85.87,85.87,85.87,84.06,84.06,83.83,83.22,79.29,79.29,79.29,77.93,76.48,76.48,71.94,71.94,71.94,70.56,67.57,66.76,66.48,66.48,64.4,62.01,62.01,58.66,58.3,56.8,55.68,55.68,55.47
smiley,PSO,SSE,4,5.99,12.18,0.77,0.36,0.34,0.19,0.24,0.24,0.02,0.28,12.04,0.27,0.02,0.99,0.75,0.06,24.79,20.56,19.65,19.65,18.68,18.53,16.75,16.73,16.73,16.73,16.51,16.23,15.84,15.84,15.33,15.33,14.92,14.92,14.92,14.56,14.41,14.36,14.03,14.03,13.89,13.89,13.89,13.89,13.72,13.51,13.46,13.3,13.3,13.23,13.2,13.18,13.15,12.83,12.81,12.72,12.71,12.51,12.46,12.39,12.34,12.31,12.28,12.25,12.2,12.18
