optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SSO,RTS,5,2,967750.84987,77.64023,1.17623,0.12027,0.25432,-0.30494,0.64244,0.15547,0.24328,0.18971,0.65387
SSO,RTS,6,2,968012.73219,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SSO,RTS,7,2,968273.76464,78.02022,1.18353,0.33535,0.25416,-0.31596,0.64591,0.17379,0.27538,0.2131,0.65779
SSO,RTS,8,2,968536.81063,77.26443,1.18459,0.31879,0.25527,-0.3091,0.63966,0.14758,0.22649,0.17871,0.65045
SSO,RTS,9,2,968799.55307,78.20244,1.17421,0.12479,0.25235,-0.3068,0.64593,0.17121,0.27338,0.21056,0.65805
SSO,RTS,10,2,969062.09366,77.90212,1.17743,0.32402,0.25303,-0.30573,0.64384,0.16025,0.25327,0.1963,0.65561
SSO,ARS,1,2,969322.9467,78.06533,1.16719,0.34272,0.25368,-0.30022,0.64595,0.17035,0.27272,0.20971,0.65814
SSO,ARS,2,2,969325.92191,78.25094,1.1743,0.11762,0.25256,-0.30825,0.64663,0.17692,0.28323,0.21779,0.65883
SSO,ARS,3,2,969328.88818,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SSO,ARS,4,2,969331.85165,78.17428,1.17348,0.11615,0.25269,-0.30686,0.64593,0.17121,0.27338,0.21056,0.65805
SSO,ARS,5,2,969334.82111,77.50246,1.15644,0.34116,0.25951,-0.29483,0.64523,0.16769,0.26638,0.20582,0.65717
SSO,ARS,6,2,969337.78564,78.29466,1.17133,0.11814,0.25206,-0.30421,0.64664,0.17606,0.28258,0.21695,0.65893
SSO,ARS,7,2,969340.74885,78.17428,1.17348,0.11615,0.25269,-0.30686,0.64593,0.17121,0.27338,0.21056,0.65805
SSO,ARS,8,2,969343.72331,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
SSO,ARS,9,2,969346.68604,78.25094,1.1743,0.44379,0.25256,-0.30825,0.64663,0.17692,0.28323,0.21779,0.65883
SSO,ARS,10,2,969349.6526,78.06589,1.18139,0.11894,0.25383,-0.31377,0.64592,0.17293,0.27471,0.21225,0.65787
AO,MSEI,1,2,969352.62357,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
AO,MSEI,2,2,969355.80215,62.71859,1.18201,0.28034,0.35541,-0.26778,0.49942,0.00013,0.00013,0.00013,0.49942
AO,MSEI,3,2,969359.0301,62.68219,1.18249,0.29308,0.3548,-0.26694,0.49934,1e-05,1e-05,1e-05,0.49934
AO,MSEI,4,2,969362.19687,62.6699,1.18111,0.29064,0.35513,-0.26674,0.49934,0.0,0.0,0,0.49934
AO,MSEI,5,2,969365.38169,62.67312,1.18263,0.301,0.35484,-0.26679,0.49959,0.00025,0.00025,0.00025,0.49959
AO,MSEI,6,2,969368.54543,62.61774,1.18145,0.29536,0.35556,-0.26571,0.49937,5e-05,5e-05,5e-05,0.49937
AO,MSEI,7,2,969371.71735,62.65599,1.18155,0.28188,0.35502,-0.26639,0.49935,0.0,0.0,0,0.49935
AO,MSEI,8,2,969374.91137,62.62105,1.18133,0.29069,0.3555,-0.26538,0.49941,5e-05,5e-05,5e-05,0.49941
AO,MSEI,9,2,969378.09034,62.6174,1.18139,0.29436,0.35556,-0.26562,0.49936,1e-05,1e-05,1e-05,0.49936
AO,MSEI,10,2,969381.26453,62.66494,1.18246,0.29036,0.35491,-0.2667,0.4994,8e-05,8e-05,8e-05,0.4994
AO,CHI,1,2,969384.42042,62.6174,1.18139,0.29436,0.35556,-0.26562,0.49936,1e-05,1e-05,1e-05,0.49936
AO,CHI,2,2,969386.48473,62.66439,1.18231,0.29196,0.35491,-0.26661,0.49936,2e-05,2e-05,2e-05,0.49936
AO,CHI,3,2,969388.55806,62.61965,1.18135,0.29349,0.35558,-0.2656,0.49941,5e-05,5e-05,5e-05,0.49941
AO,CHI,4,2,969390.64594,62.61704,1.18139,0.29459,0.35558,-0.26563,0.49938,3e-05,3e-05,3e-05,0.49938
AO,CHI,5,2,969392.74068,62.61755,1.18143,0.29269,0.35556,-0.26568,0.49937,3e-05,3e-05,3e-05,0.49937
AO,CHI,6,2,969394.84464,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
AO,CHI,7,2,969396.9418,62.66366,1.18229,0.29157,0.35492,-0.26659,0.49938,3e-05,3e-05,3e-05,0.49938
AO,CHI,8,2,969399.03482,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
AO,CHI,9,2,969401.15302,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
AO,CHI,10,2,969403.22294,62.61783,1.18148,0.29224,0.35553,-0.26568,0.49934,1e-05,1e-05,1e-05,0.49934
AO,RTS,1,2,969405.3246,77.4449,1.18638,0.31896,0.25327,-0.30694,0.63967,0.14593,0.22504,0.17705,0.65061
AO,RTS,2,2,969670.67357,76.80248,1.19405,0.12721,0.25618,-0.31603,0.63692,0.14271,0.21403,0.17124,0.64696
AO,RTS,3,2,969932.38833,78.03189,1.16157,0.12145,0.25372,-0.29493,0.64527,0.16513,0.26436,0.20328,0.65745
AO,RTS,4,2,970197.39832,78.09851,1.16636,0.34892,0.25455,-0.29809,0.64529,0.16428,0.26368,0.20244,0.65755
AO,RTS,5,2,970457.87706,77.95324,1.16259,0.34351,0.25419,-0.29937,0.64595,0.17035,0.27272,0.20971,0.65814
AO,RTS,6,2,970718.07912,78.14473,1.16361,0.34605,0.25529,-0.29903,0.646,0.16779,0.27073,0.20718,0.65843
AO,RTS,7,2,970977.30207,78.20244,1.17421,0.32003,0.25235,-0.3068,0.64593,0.17121,0.27338,0.21056,0.65805
AO,RTS,8,2,971235.78138,77.34392,1.1781,0.12782,0.25838,-0.31029,0.64173,0.15416,0.23946,0.18757,0.65293
AO,RTS,9,2,971495.20236,77.97173,1.18338,0.1207,0.25396,-0.31449,0.64521,0.1694,0.26774,0.20751,0.657
AO,RTS,10,2,971755.09599,77.34392,1.1781,0.31914,0.25838,-0.31029,0.64173,0.15416,0.23946,0.18757,0.65293
AO,ARS,1,2,972014.93918,78.01751,1.18126,0.12108,0.25363,-0.31231,0.64522,0.16854,0.26706,0.20666,0.65709
AO,ARS,2,2,972018.21031,77.83219,1.14088,0.3394,0.25731,-0.27853,0.64536,0.16173,0.26166,0.1999,0.65785
AO,ARS,3,2,972021.46498,77.1124,1.18674,0.12266,0.25642,-0.31491,0.64035,0.15271,0.23328,0.18459,0.65101
AO,ARS,4,2,972024.74584,78.07133,1.1649,0.33528,0.25344,-0.29783,0.64391,0.15688,0.25049,0.19293,0.65598
AO,ARS,5,2,972028.01767,77.93374,1.16174,0.12435,0.25722,-0.30053,0.64596,0.1695,0.27206,0.20887,0.65823
AO,ARS,6,2,972031.27164,77.81249,1.16433,0.13074,0.25397,-0.2974,0.64455,0.16296,0.25887,0.20001,0.65648
AO,ARS,7,2,972034.55764,78.09851,1.16636,0.34892,0.25455,-0.29809,0.64529,0.16428,0.26368,0.20244,0.65755
AO,ARS,8,2,972037.81282,78.09092,1.16696,0.34869,0.25483,-0.29963,0.64529,0.16428,0.26368,0.20244,0.65755
AO,ARS,9,2,972041.07995,77.97173,1.18338,0.1207,0.25396,-0.31449,0.64521,0.1694,0.26774,0.20751,0.657
AO,ARS,10,2,972044.36203,77.49335,1.16789,0.32342,0.25847,-0.3037,0.64314,0.15777,0.2481,0.19288,0.65474
M-EO,MSEI,1,2,972047.62107,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,2,2,972052.59874,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,3,2,972057.57905,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,4,2,972062.5813,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,5,2,972067.57123,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
